recurring_events.id,recurring_events.title,recurring_events.recur_startdate,recurring_events.recur_enddate,recurring_events.day_of_week,recurring_events.all_day,recurring_events.start_time,recurring_events.end_time
1,Thursday Seminars,2020-10-05,2020-12-11,4,False,13:00:00,14:00:00
2,Wednesday,2020-09-30,2021-09-24,3,False,12:00:00,18:00:00
