locations.title,locations.capacity,locations.celcat_code,locations.is_external
CPB Seminar Room,,,1
Darwin,,,1
Fisher,,,1
Haldane,,,1
Hamilton Computer Lab,,,1
Hamilton Field Lab,,,1
Hamilton Foyer,,,1
Lundy,,,0
Lundy Tavern,,,0
Malaysia,,,0
NHM,,,0
Seminar Room 1,,,1
Seminar Room 2,,,1
Silwood Grounds,,,1
South Kensington,,,0
WTC,,,0
Wallace,,,1
